date,product_id,product_name,category,brand,region,store_id,store_name,store_latitude,store_longitude,units_sold,unit_price,promo,discount_pct,revenue
2024-01-01,P1008,Iced Tea,Beverages,TeaZen,East,S003,QuickBuy East,6.78901,4.12345,154,3.8,No,0,585.1999999999999
2024-01-01,P1008,Iced Tea,Beverages,TeaZen,West,S016,MetroValue West,6.45678,3.12345,32,5.79,No,0,185.28
2024-01-02,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S005,UrbanGrocer North,6.65432,3.4321,128,3.26,Yes,20,417.28
2024-01-02,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S018,PrimePick South,6.45678,3.54321,55,1.82,No,0,100.10000000000001
2024-01-02,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S019,EastBay Market,6.98765,4.45678,122,4.47,Yes,20,545.3399999999999
2024-01-02,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S012,FreshHub West,6.12345,2.87654,35,4.25,No,0,148.75
2024-01-02,P1002,Sparkling Water,Beverages,AquaFresh,North,S017,UrbanChoice North,6.78901,3.6789,129,3.95,Yes,20,509.55
2024-01-02,P1002,Sparkling Water,Beverages,AquaFresh,South,S014,ValueCart South,6.32109,3.65432,142,2.91,No,0,413.22
2024-01-02,P1002,Sparkling Water,Beverages,AquaFresh,East,S007,FastLane East,6.87654,4.23456,47,2.72,Yes,20,127.84
2024-01-02,P1002,Sparkling Water,Beverages,AquaFresh,West,S008,DailyBasket West,6.34567,3.09876,84,2.93,No,0,246.12
2024-01-02,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S013,SuperSave North,6.56789,3.54321,191,3.65,No,0,697.15
2024-01-02,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S010,QuickStop South,6.21098,3.98765,129,1.88,No,0,242.51999999999998
2024-01-02,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S011,CityPantry East,6.76543,4.01234,117,1.89,Yes,10,221.13
2024-01-02,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S012,FreshHub West,6.12345,2.87654,63,4.65,Yes,10,292.95000000000005
2024-01-02,P1004,Chocolate Bar,Snacks,SweetWave,North,S013,SuperSave North,6.56789,3.54321,195,3.38,No,0,659.1
2024-01-02,P1004,Chocolate Bar,Snacks,SweetWave,South,S002,CitySuper South,6.12345,3.87654,42,5.47,No,0,229.73999999999998
2024-01-02,P1004,Chocolate Bar,Snacks,SweetWave,East,S003,QuickBuy East,6.78901,4.12345,150,3.39,No,0,508.5
2024-01-02,P1004,Chocolate Bar,Snacks,SweetWave,West,S008,DailyBasket West,6.34567,3.09876,110,2.99,Yes,20,328.90000000000003
2024-01-02,P1005,Energy Drink,Beverages,PowerUp,North,S017,UrbanChoice North,6.78901,3.6789,195,4.18,No,0,815.0999999999999
2024-01-02,P1005,Energy Drink,Beverages,PowerUp,South,S018,PrimePick South,6.45678,3.54321,160,1.5,No,0,240.0
2024-01-02,P1005,Energy Drink,Beverages,PowerUp,East,S003,QuickBuy East,6.78901,4.12345,135,1.74,Yes,20,234.9
2024-01-02,P1005,Energy Drink,Beverages,PowerUp,West,S008,DailyBasket West,6.34567,3.09876,142,1.41,No,0,200.22
2024-01-02,P1006,Toilet Paper,Personal Care,SoftCare,North,S017,UrbanChoice North,6.78901,3.6789,182,1.7,No,0,309.4
2024-01-02,P1006,Toilet Paper,Personal Care,SoftCare,South,S014,ValueCart South,6.32109,3.65432,33,4.85,No,0,160.04999999999998
2024-01-02,P1006,Toilet Paper,Personal Care,SoftCare,East,S019,EastBay Market,6.98765,4.45678,105,1.68,No,0,176.4
2024-01-02,P1006,Toilet Paper,Personal Care,SoftCare,West,S012,FreshHub West,6.12345,2.87654,144,5.75,No,0,828.0
2024-01-02,P1007,Pretzels,Snacks,SaltyTwist,North,S009,EliteMart North,6.4321,3.21098,65,3.65,No,0,237.25
2024-01-02,P1007,Pretzels,Snacks,SaltyTwist,South,S002,CitySuper South,6.12345,3.87654,36,3.23,Yes,15,116.28
2024-01-02,P1007,Pretzels,Snacks,SaltyTwist,East,S011,CityPantry East,6.76543,4.01234,192,1.27,Yes,10,243.84
2024-01-02,P1007,Pretzels,Snacks,SaltyTwist,West,S008,DailyBasket West,6.34567,3.09876,190,5.48,Yes,15,1041.2
2024-01-02,P1008,Iced Tea,Beverages,TeaZen,North,S017,UrbanChoice North,6.78901,3.6789,193,4.77,No,0,920.6099999999999
2024-01-02,P1008,Iced Tea,Beverages,TeaZen,South,S006,PrimeCart South,6.09876,3.76543,142,1.02,Yes,10,144.84
2024-01-02,P1008,Iced Tea,Beverages,TeaZen,East,S019,EastBay Market,6.98765,4.45678,100,1.18,No,0,118.0
2024-01-02,P1008,Iced Tea,Beverages,TeaZen,West,S012,FreshHub West,6.12345,2.87654,161,4.87,No,0,784.07
2024-01-03,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S009,EliteMart North,6.4321,3.21098,80,4.49,No,0,359.20000000000005
2024-01-03,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S018,PrimePick South,6.45678,3.54321,113,1.03,No,0,116.39
2024-01-03,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S007,FastLane East,6.87654,4.23456,82,5.56,No,0,455.91999999999996
2024-01-03,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S016,MetroValue West,6.45678,3.12345,137,3.96,Yes,15,542.52
2024-01-03,P1002,Sparkling Water,Beverages,AquaFresh,North,S005,UrbanGrocer North,6.65432,3.4321,36,2.29,No,0,82.44
2024-01-03,P1002,Sparkling Water,Beverages,AquaFresh,South,S014,ValueCart South,6.32109,3.65432,142,2.67,No,0,379.14
2024-01-03,P1002,Sparkling Water,Beverages,AquaFresh,East,S011,CityPantry East,6.76543,4.01234,76,4.44,No,0,337.44000000000005
2024-01-03,P1002,Sparkling Water,Beverages,AquaFresh,West,S008,DailyBasket West,6.34567,3.09876,182,3.71,Yes,20,675.22
2024-01-03,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S017,UrbanChoice North,6.78901,3.6789,63,3.45,No,0,217.35000000000002
2024-01-03,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S010,QuickStop South,6.21098,3.98765,122,4.92,Yes,20,600.24
2024-01-03,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S019,EastBay Market,6.98765,4.45678,120,3.62,No,0,434.40000000000003
2024-01-03,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S012,FreshHub West,6.12345,2.87654,194,3.81,No,0,739.14
2024-01-03,P1004,Chocolate Bar,Snacks,SweetWave,North,S009,EliteMart North,6.4321,3.21098,88,1.56,Yes,15,137.28
2024-01-03,P1004,Chocolate Bar,Snacks,SweetWave,South,S006,PrimeCart South,6.09876,3.76543,87,4.85,Yes,15,421.95
2024-01-03,P1004,Chocolate Bar,Snacks,SweetWave,East,S011,CityPantry East,6.76543,4.01234,127,2.78,No,0,353.06
2024-01-03,P1004,Chocolate Bar,Snacks,SweetWave,West,S008,DailyBasket West,6.34567,3.09876,160,2.73,No,0,436.8
2024-01-03,P1005,Energy Drink,Beverages,PowerUp,North,S013,SuperSave North,6.56789,3.54321,32,4.86,Yes,20,155.52
2024-01-03,P1005,Energy Drink,Beverages,PowerUp,South,S002,CitySuper South,6.12345,3.87654,170,1.91,Yes,15,324.7
2024-01-03,P1005,Energy Drink,Beverages,PowerUp,East,S019,EastBay Market,6.98765,4.45678,126,4.3,No,0,541.8
2024-01-03,P1005,Energy Drink,Beverages,PowerUp,West,S012,FreshHub West,6.12345,2.87654,180,1.2,No,0,216.0
2024-01-03,P1006,Toilet Paper,Personal Care,SoftCare,North,S013,SuperSave North,6.56789,3.54321,50,3.9,Yes,20,195.0
2024-01-03,P1006,Toilet Paper,Personal Care,SoftCare,South,S018,PrimePick South,6.45678,3.54321,92,4.61,No,0,424.12
2024-01-03,P1006,Toilet Paper,Personal Care,SoftCare,East,S007,FastLane East,6.87654,4.23456,36,3.64,Yes,20,131.04
2024-01-03,P1006,Toilet Paper,Personal Care,SoftCare,West,S012,FreshHub West,6.12345,2.87654,66,2.5,No,0,165.0
2024-01-03,P1007,Pretzels,Snacks,SaltyTwist,North,S005,UrbanGrocer North,6.65432,3.4321,61,2.29,No,0,139.69
2024-01-03,P1007,Pretzels,Snacks,SaltyTwist,South,S014,ValueCart South,6.32109,3.65432,192,3.68,Yes,15,706.5600000000001
2024-01-03,P1007,Pretzels,Snacks,SaltyTwist,East,S003,QuickBuy East,6.78901,4.12345,112,4.85,No,0,543.1999999999999
2024-01-03,P1007,Pretzels,Snacks,SaltyTwist,West,S016,MetroValue West,6.45678,3.12345,159,3.9,No,0,620.1
2024-01-03,P1008,Iced Tea,Beverages,TeaZen,North,S009,EliteMart North,6.4321,3.21098,167,3.0,No,0,501.0
2024-01-03,P1008,Iced Tea,Beverages,TeaZen,South,S010,QuickStop South,6.21098,3.98765,141,5.27,Yes,20,743.0699999999999
2024-01-03,P1008,Iced Tea,Beverages,TeaZen,East,S011,CityPantry East,6.76543,4.01234,178,2.24,No,0,398.72
2024-01-03,P1008,Iced Tea,Beverages,TeaZen,West,S020,WestGate Store,6.01234,2.76543,38,2.6,Yes,15,98.8
2024-01-04,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S005,UrbanGrocer North,6.65432,3.4321,151,3.07,No,0,463.57
2024-01-04,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S010,QuickStop South,6.21098,3.98765,87,4.27,No,0,371.48999999999995
2024-01-04,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S007,FastLane East,6.87654,4.23456,171,1.25,No,0,213.75
2024-01-04,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S004,ValueHub West,6.23456,2.98765,166,5.95,No,0,987.7
2024-01-04,P1002,Sparkling Water,Beverages,AquaFresh,North,S005,UrbanGrocer North,6.65432,3.4321,103,5.35,No,0,551.05
2024-01-04,P1002,Sparkling Water,Beverages,AquaFresh,South,S014,ValueCart South,6.32109,3.65432,74,3.74,No,0,276.76
2024-01-04,P1002,Sparkling Water,Beverages,AquaFresh,East,S015,QuickPick East,6.65432,4.34567,70,5.7,Yes,10,399.0
2024-01-04,P1002,Sparkling Water,Beverages,AquaFresh,West,S016,MetroValue West,6.45678,3.12345,116,1.46,No,0,169.35999999999999
2024-01-04,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S013,SuperSave North,6.56789,3.54321,115,4.6,No,0,529.0
2024-01-04,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S002,CitySuper South,6.12345,3.87654,191,3.83,No,0,731.53
2024-01-04,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S015,QuickPick East,6.65432,4.34567,118,5.03,No,0,593.5400000000001
2024-01-04,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S004,ValueHub West,6.23456,2.98765,87,2.38,No,0,207.06
2024-01-04,P1004,Chocolate Bar,Snacks,SweetWave,North,S009,EliteMart North,6.4321,3.21098,121,1.5,No,0,181.5
2024-01-04,P1004,Chocolate Bar,Snacks,SweetWave,South,S018,PrimePick South,6.45678,3.54321,173,4.28,No,0,740.44
2024-01-04,P1004,Chocolate Bar,Snacks,SweetWave,East,S015,QuickPick East,6.65432,4.34567,126,4.74,Yes,10,597.24
2024-01-04,P1004,Chocolate Bar,Snacks,SweetWave,West,S008,DailyBasket West,6.34567,3.09876,173,4.02,No,0,695.4599999999999
2024-01-04,P1005,Energy Drink,Beverages,PowerUp,North,S005,UrbanGrocer North,6.65432,3.4321,94,5.52,No,0,518.88
2024-01-04,P1005,Energy Drink,Beverages,PowerUp,South,S002,CitySuper South,6.12345,3.87654,173,2.4,No,0,415.2
2024-01-04,P1005,Energy Drink,Beverages,PowerUp,East,S003,QuickBuy East,6.78901,4.12345,52,3.17,No,0,164.84
2024-01-04,P1005,Energy Drink,Beverages,PowerUp,West,S008,DailyBasket West,6.34567,3.09876,157,1.44,No,0,226.07999999999998
2024-01-04,P1006,Toilet Paper,Personal Care,SoftCare,North,S013,SuperSave North,6.56789,3.54321,190,1.62,No,0,307.8
2024-01-04,P1006,Toilet Paper,Personal Care,SoftCare,South,S006,PrimeCart South,6.09876,3.76543,153,3.04,No,0,465.12
2024-01-04,P1006,Toilet Paper,Personal Care,SoftCare,East,S007,FastLane East,6.87654,4.23456,127,4.43,No,0,562.61
2024-01-04,P1006,Toilet Paper,Personal Care,SoftCare,West,S008,DailyBasket West,6.34567,3.09876,51,3.13,No,0,159.63
2024-01-04,P1007,Pretzels,Snacks,SaltyTwist,North,S013,SuperSave North,6.56789,3.54321,41,2.42,No,0,99.22
2024-01-04,P1007,Pretzels,Snacks,SaltyTwist,South,S018,PrimePick South,6.45678,3.54321,80,4.93,Yes,10,394.4
2024-01-04,P1007,Pretzels,Snacks,SaltyTwist,East,S015,QuickPick East,6.65432,4.34567,71,5.31,No,0,377.01
2024-01-04,P1007,Pretzels,Snacks,SaltyTwist,West,S020,WestGate Store,6.01234,2.76543,118,3.36,Yes,10,396.47999999999996
2024-01-04,P1008,Iced Tea,Beverages,TeaZen,North,S001,MetroMart North,6.54321,3.32109,106,1.58,No,0,167.48000000000002
2024-01-04,P1008,Iced Tea,Beverages,TeaZen,South,S002,CitySuper South,6.12345,3.87654,50,3.43,Yes,15,171.5
2024-01-04,P1008,Iced Tea,Beverages,TeaZen,East,S019,EastBay Market,6.98765,4.45678,37,2.23,No,0,82.51
2024-01-04,P1008,Iced Tea,Beverages,TeaZen,West,S016,MetroValue West,6.45678,3.12345,135,3.74,No,0,504.90000000000003
2024-01-05,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S001,MetroMart North,6.54321,3.32109,164,4.14,Yes,20,678.9599999999999
2024-01-05,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S006,PrimeCart South,6.09876,3.76543,59,1.14,No,0,67.25999999999999
2024-01-05,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S003,QuickBuy East,6.78901,4.12345,49,5.19,No,0,254.31000000000003
2024-01-05,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S016,MetroValue West,6.45678,3.12345,70,2.48,Yes,20,173.6
2024-01-05,P1002,Sparkling Water,Beverages,AquaFresh,North,S001,MetroMart North,6.54321,3.32109,43,4.88,No,0,209.84
2024-01-05,P1002,Sparkling Water,Beverages,AquaFresh,South,S018,PrimePick South,6.45678,3.54321,159,1.06,Yes,10,168.54000000000002
2024-01-05,P1002,Sparkling Water,Beverages,AquaFresh,East,S007,FastLane East,6.87654,4.23456,108,2.94,No,0,317.52
2024-01-05,P1002,Sparkling Water,Beverages,AquaFresh,West,S020,WestGate Store,6.01234,2.76543,51,1.58,No,0,80.58
2024-01-05,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S009,EliteMart North,6.4321,3.21098,147,3.59,No,0,527.73
2024-01-05,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S002,CitySuper South,6.12345,3.87654,34,3.79,No,0,128.86
2024-01-05,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S019,EastBay Market,6.98765,4.45678,87,5.29,No,0,460.23
2024-01-05,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S008,DailyBasket West,6.34567,3.09876,30,3.15,No,0,94.5
2024-01-05,P1004,Chocolate Bar,Snacks,SweetWave,North,S005,UrbanGrocer North,6.65432,3.4321,158,4.36,Yes,20,688.88
2024-01-05,P1004,Chocolate Bar,Snacks,SweetWave,South,S014,ValueCart South,6.32109,3.65432,84,3.29,No,0,276.36
2024-01-05,P1004,Chocolate Bar,Snacks,SweetWave,East,S011,CityPantry East,6.76543,4.01234,79,1.29,No,0,101.91
2024-01-05,P1004,Chocolate Bar,Snacks,SweetWave,West,S004,ValueHub West,6.23456,2.98765,195,3.88,No,0,756.6
2024-01-05,P1005,Energy Drink,Beverages,PowerUp,North,S005,UrbanGrocer North,6.65432,3.4321,199,2.96,No,0,589.04
2024-01-05,P1005,Energy Drink,Beverages,PowerUp,South,S002,CitySuper South,6.12345,3.87654,45,3.99,No,0,179.55
2024-01-05,P1005,Energy Drink,Beverages,PowerUp,East,S007,FastLane East,6.87654,4.23456,143,1.42,No,0,203.06
2024-01-05,P1005,Energy Drink,Beverages,PowerUp,West,S008,DailyBasket West,6.34567,3.09876,195,1.07,Yes,15,208.65
2024-01-05,P1006,Toilet Paper,Personal Care,SoftCare,North,S005,UrbanGrocer North,6.65432,3.4321,95,3.9,Yes,10,370.5
2024-01-05,P1006,Toilet Paper,Personal Care,SoftCare,South,S014,ValueCart South,6.32109,3.65432,83,1.22,No,0,101.25999999999999
2024-01-05,P1006,Toilet Paper,Personal Care,SoftCare,East,S011,CityPantry East,6.76543,4.01234,145,2.48,No,0,359.6
2024-01-05,P1006,Toilet Paper,Personal Care,SoftCare,West,S016,MetroValue West,6.45678,3.12345,41,4.15,No,0,170.15
2024-01-05,P1007,Pretzels,Snacks,SaltyTwist,North,S017,UrbanChoice North,6.78901,3.6789,197,5.08,Yes,20,1000.76
2024-01-05,P1007,Pretzels,Snacks,SaltyTwist,South,S018,PrimePick South,6.45678,3.54321,54,3.47,No,0,187.38000000000002
2024-01-05,P1007,Pretzels,Snacks,SaltyTwist,East,S007,FastLane East,6.87654,4.23456,183,3.78,No,0,691.74
2024-01-05,P1007,Pretzels,Snacks,SaltyTwist,West,S004,ValueHub West,6.23456,2.98765,156,2.01,No,0,313.55999999999995
2024-01-05,P1008,Iced Tea,Beverages,TeaZen,North,S013,SuperSave North,6.56789,3.54321,57,5.72,No,0,326.03999999999996
2024-01-05,P1008,Iced Tea,Beverages,TeaZen,South,S014,ValueCart South,6.32109,3.65432,103,3.22,No,0,331.66
2024-01-05,P1008,Iced Tea,Beverages,TeaZen,East,S011,CityPantry East,6.76543,4.01234,194,4.25,No,0,824.5
2024-01-05,P1008,Iced Tea,Beverages,TeaZen,West,S008,DailyBasket West,6.34567,3.09876,172,3.96,No,0,681.12
2024-01-06,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S013,SuperSave North,6.56789,3.54321,50,3.03,No,0,151.5
2024-01-06,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S014,ValueCart South,6.32109,3.65432,137,3.34,Yes,15,457.58
2024-01-06,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S007,FastLane East,6.87654,4.23456,149,2.34,Yes,20,348.65999999999997
2024-01-06,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S020,WestGate Store,6.01234,2.76543,81,1.45,No,0,117.45
2024-01-06,P1002,Sparkling Water,Beverages,AquaFresh,North,S013,SuperSave North,6.56789,3.54321,80,1.16,No,0,92.8
2024-01-06,P1002,Sparkling Water,Beverages,AquaFresh,South,S006,PrimeCart South,6.09876,3.76543,47,5.4,Yes,10,253.8
2024-01-06,P1002,Sparkling Water,Beverages,AquaFresh,East,S011,CityPantry East,6.76543,4.01234,120,2.35,No,0,282.0
2024-01-06,P1002,Sparkling Water,Beverages,AquaFresh,West,S020,WestGate Store,6.01234,2.76543,102,4.22,Yes,15,430.44
2024-01-06,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S005,UrbanGrocer North,6.65432,3.4321,48,1.65,No,0,79.19999999999999
2024-01-06,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S014,ValueCart South,6.32109,3.65432,47,3.56,No,0,167.32
2024-01-06,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S015,QuickPick East,6.65432,4.34567,41,2.85,No,0,116.85000000000001
2024-01-06,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S004,ValueHub West,6.23456,2.98765,110,5.81,No,0,639.0999999999999
2024-01-06,P1004,Chocolate Bar,Snacks,SweetWave,North,S017,UrbanChoice North,6.78901,3.6789,128,2.11,No,0,270.08
2024-01-06,P1004,Chocolate Bar,Snacks,SweetWave,South,S006,PrimeCart South,6.09876,3.76543,59,3.95,No,0,233.05
2024-01-06,P1004,Chocolate Bar,Snacks,SweetWave,East,S015,QuickPick East,6.65432,4.34567,133,5.58,No,0,742.14
2024-01-06,P1004,Chocolate Bar,Snacks,SweetWave,West,S012,FreshHub West,6.12345,2.87654,126,4.77,No,0,601.02
2024-01-06,P1005,Energy Drink,Beverages,PowerUp,North,S013,SuperSave North,6.56789,3.54321,64,3.85,No,0,246.4
2024-01-06,P1005,Energy Drink,Beverages,PowerUp,South,S018,PrimePick South,6.45678,3.54321,115,4.58,Yes,10,526.7
2024-01-06,P1005,Energy Drink,Beverages,PowerUp,East,S003,QuickBuy East,6.78901,4.12345,163,5.43,Yes,10,885.0899999999999
2024-01-06,P1005,Energy Drink,Beverages,PowerUp,West,S016,MetroValue West,6.45678,3.12345,81,5.19,Yes,10,420.39000000000004
2024-01-06,P1006,Toilet Paper,Personal Care,SoftCare,North,S009,EliteMart North,6.4321,3.21098,143,3.97,No,0,567.71
2024-01-06,P1006,Toilet Paper,Personal Care,SoftCare,South,S014,ValueCart South,6.32109,3.65432,101,4.99,No,0,503.99
2024-01-06,P1006,Toilet Paper,Personal Care,SoftCare,East,S007,FastLane East,6.87654,4.23456,158,3.44,Yes,10,543.52
2024-01-06,P1006,Toilet Paper,Personal Care,SoftCare,West,S016,MetroValue West,6.45678,3.12345,105,5.73,No,0,601.6500000000001
2024-01-06,P1007,Pretzels,Snacks,SaltyTwist,North,S017,UrbanChoice North,6.78901,3.6789,108,5.62,No,0,606.96
2024-01-06,P1007,Pretzels,Snacks,SaltyTwist,South,S010,QuickStop South,6.21098,3.98765,189,3.53,No,0,667.17
2024-01-06,P1007,Pretzels,Snacks,SaltyTwist,East,S015,QuickPick East,6.65432,4.34567,174,2.14,No,0,372.36
2024-01-06,P1007,Pretzels,Snacks,SaltyTwist,West,S008,DailyBasket West,6.34567,3.09876,69,4.51,No,0,311.19
2024-01-06,P1008,Iced Tea,Beverages,TeaZen,North,S009,EliteMart North,6.4321,3.21098,58,3.92,Yes,15,227.35999999999999
2024-01-06,P1008,Iced Tea,Beverages,TeaZen,South,S018,PrimePick South,6.45678,3.54321,147,4.27,No,0,627.6899999999999
2024-01-06,P1008,Iced Tea,Beverages,TeaZen,East,S015,QuickPick East,6.65432,4.34567,53,1.49,No,0,78.97
2024-01-06,P1008,Iced Tea,Beverages,TeaZen,West,S016,MetroValue West,6.45678,3.12345,36,3.92,Yes,20,141.12
2024-01-07,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S009,EliteMart North,6.4321,3.21098,129,2.05,Yes,20,264.45
2024-01-07,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S018,PrimePick South,6.45678,3.54321,198,1.95,No,0,386.09999999999997
2024-01-07,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S019,EastBay Market,6.98765,4.45678,148,3.51,No,0,519.48
2024-01-07,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S016,MetroValue West,6.45678,3.12345,134,3.09,Yes,15,414.06
2024-01-07,P1002,Sparkling Water,Beverages,AquaFresh,North,S001,MetroMart North,6.54321,3.32109,74,2.09,No,0,154.66
2024-01-07,P1002,Sparkling Water,Beverages,AquaFresh,South,S018,PrimePick South,6.45678,3.54321,68,4.63,Yes,20,314.84
2024-01-07,P1002,Sparkling Water,Beverages,AquaFresh,East,S003,QuickBuy East,6.78901,4.12345,89,2.14,No,0,190.46
2024-01-07,P1002,Sparkling Water,Beverages,AquaFresh,West,S008,DailyBasket West,6.34567,3.09876,84,2.03,No,0,170.51999999999998
2024-01-07,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S009,EliteMart North,6.4321,3.21098,172,3.3,No,0,567.6
